id,name,groups,title,org,url,photo_url,description,size
alicia,Alicia Perez,"Development|Residential",CEO,Blue Harbor Dev,https://example.com,,,22
ben,Ben Cho,CRE,Partner,Cho & Partners,https://example.com,,,18
cynthia,Cynthia Ng,Politics,Council Member,City of Metropolis,https://example.com,,,20
darius,Darius Lee,Residential,Principal,Lee Realty Group,https://example.com,,,16
erin,Erin Gold,Other,Editor,The Ledger,https://example.com,,,14
farah,Farah Khan,"Politics|Development",Deputy Mayor,City of Metropolis,https://example.com,,,20
george,George Tan,CRE,Managing Director,Metro Capital,https://example.com,,,18
hannah,Hannah Smith,"Residential|CRE",Broker,Smith & Co Realty,https://example.com,,,17
ivan,Ivan Morales,Development,Partner,Sunrise Builders,https://example.com,,,19
julia,Julia Chen,Politics,State Senator,State Legislature,https://example.com,,,21
kyle,Kyle Ortiz,Other,Journalist,Metropolis Times,https://example.com,,,14
lara,Lara Becker,"Residential|Other",Community Organizer,Neighborhood Assoc,https://example.com,,,15
marcus,Marcus Brown,CRE,Investment Analyst,BigFund Capital,https://example.com,,,16
nina,Nina Rossi,Development,Project Manager,Rossi Dev Group,https://example.com,,,18
omar,Omar Patel,Politics,City Councilor,City of Metropolis,https://example.com,,,20
