,Name,Region/ City / Neighborhood,Research URL,Description
14,National Multifamily Housing Council (No API),National,https://www.nmhc.org/research-insight/,Trade group for the apartment industry
15,National Retail Federation (No API),National,https://nrf.com/,Trade group for the retail industry
29,Safegraph,National,https://www.safegraph.com/?utm_campaign=branded_exact&utm_term=safegraph_data&rm_ci=8481213813&rm_gid=88800951800&utm_medium=cpc&utm_source=google&utm_content=404850132212&utm_term=safegraph%20data&rm_kw=safegraph%20data&rm_mt=e&rm_n=g&rm_cr=404850132212device=c&creative=404850132212&placement=&gclid=CjwKCAjw5Kv7BRBSEiwAXGDElbOT65MIcVQekDw6rt7NpHIRVBRTSQYec5MjOb-5ZhbV5MJ04odQQBoCX8wQAvD_BwE,Provides accurate point of interest (POI) and foot traffic data on the market
30,Replica,National,https://replicahq.com/,"Provides weekly mobility and economic insights, nationwide, at census-tract level fidelity, detailed, activity-based travel models, region and time-specific. As well as, forecasting and impact analysis, built on locastion data"
31,Coord,National,https://www.coord.com/, 
32,Placer. ai,National,https://www.placer.ai/,Provides consumer foot-traffic
33,Securities and Exchange Commission API (requires payment),National ,https://sec-api.io/,"Provides 150 SEC filing types, indexed in real-time between between 1993 and 2021"
34,Court Listener API,National ,https://www.courtlistener.com/api/rest-info/,"Provides opinions, oral arguments, judges, and federal filings."
35,Whitepages API,National, https://rapidapi.com/blog/directory/whitepages-pro-find-person/,"Provides real-time global identity data, proprietary network insights"
36,ATOM Property API,National ,https://www.attomdata.com/solutions/property-data-api/,"Provides data points on property data, foreclosures, ownership, valuations, transactions/mortgage data, boundaries, schools, neighborhood data, hazards and risks, and real estate listings data. "
37,Mashvisor,National ,https://www.mashvisor.com/api-doc/#introduction,Offers data on more than 155 million U.S. properties and 99% of the U.S. population.
38,SimplyRETS API (Requires Payment),National,https://simplyrets.com/,"Provides Active/Pending/Closed Statuses, residential listings, condo listings, rental listings, multi-family listings, commercial listings, (farm, lot, land listings), and open houses"
