full_address,project_name,developers,brokerage,description,brand,story_link
444 Brickell Avenue in Miami,Baccarat Residences Miami ,Related Group,Fortune,"Related Group, led by Jorge Pérez and his sons, Jon Paul and Nick, plan a three-tower development including the 75-story Baccarat-branded condo high-rise and hotel and a rental building. Baccarat Residences will include 318 condos, eight penthouses and 28 riverfront flats and duplexes.",Baccarat,https://therealdeal.com/miami/2023/01/04/related-scores-164m-construction-loan-for-brickell-apartment-tower/
1809 Brickell Avenue in Miami ,"St. Regis Residences, Miami","Related Group, Integra Investments",Fortune,Related Group and Integra Investments plan one 46-story St. Regis-branded tower totaling roughly 150 condos. ,St. Regis,https://therealdeal.com/miami/2022/10/18/downsizing-plans-related-integra-shrink-st-regis-brickell/
1420 South Miami Avenue in Miami,"Cipriani Residences, Miami",Mast Capital,Fortune,"Mast Capital plans an 80-story condo tower, the first Cipriani-branded residential building in the U.S. It is expected to have 397 units.",Cipriani,https://therealdeal.com/miami/2022/03/09/cipriani-residences-miami-80-story-condo-tower-planned-for-brickell-site/
3100 Northeast First Avenue in Miami,The Standard Residences Midtown Miami,"Rosso Development, Midtown Development",Douglas Elliman,"Carlos Rosso and Alex Vadia's Midtown Development plan the Standard Residences in Midtown Miami, a 12-story condo tower with 228 units. ",The Standard,https://therealdeal.com/miami/2021/11/19/the-standard-hotel-branded-condos-are-coming-to-midtown-miami/
2678 Tigertail Avenue in Miami ,Mr. C Residences Coconut Grove ,Terra,Douglas Elliman,"Terra's 20-story, 118-unit Mr. C Residences in Coconut Grove is under construction. ",Mr. C,https://therealdeal.com/miami/2020/01/27/condos-at-mr-c-residences-in-coconut-grove-will-start-in-the-600ks/
148 Northwest 28th Street in Miami,Diesel Wynwood,Bel Invest,Formerly One Sotheby's,"Bel Invest and its partner, Diesel, plan the Diesel Wynwood condo tower in Miami's Wynwood neighborhood. The tower will be eight-stories and have 159 units. It will be the first Diesel branded condo tower, ever.",Diesel,https://therealdeal.com/miami/2021/11/12/diesel-power-fashion-brand-and-partner-bel-invest-launch-sales-for-wynwood-condos/
300 Biscayne Boulevard Way in Miami,"Aston Martin Residences, Miami ",G&G Business Developments ,Cervera Real Estate,"G&G Business Developments' Aston Martin Residences, a 66-story, 391-unit condo tower, is under construction in downtown Miami.",Aston Martin,https://therealdeal.com/miami/2020/11/24/aston-martin-residences-unveils-dbx-suv-included-with-purchase-of-luxury-condo/
18401 Collins Avenue in Sunny Isles Beach,Bentley Residences,Dezer Development,Dezer Platinum Realty,Dezer Development plans a 61-story condo tower with 216 units. Dezer partnered with Bentley Motors to develop the luxury automotive brand’s first residential building in the world.,Bentley,https://therealdeal.com/miami/2022/11/21/dezer-scores-40m-loan-tied-to-planned-bentley-residences/
300 Biscayne Boulevard in Miami,Waldorf Astoria Hotel and Residences,"PMG, Greybrook, Mohari Hospitality, S2 Development and Hilton",PMG,"PMG, Greybook, Mohari Hospitality, S2 Development and Hilton plan the Waldorf Astoria, a 100-story tower with 360 condos and 205 hotel rooms.",Waldorf Astoria,https://therealdeal.com/miami/2021/03/22/waldorf-astoria-miami-planned-as-the-tallest-tower-south-of-manhattan-launches-sales/
"20 Northeast 11th Street in Miami

29 Northeast 11th Street in Miami",E11even Residences and E11even Residences Beyond,"PMG, E11even Partners",PMG,"PMG, E11even Partners plan the E11even Residences and E11even Residences Beyond, two E11even-branded condo towers in Park West. The first tower will have 65 stories and 400 units. The second tower will have 461 units.",E11even,https://therealdeal.com/miami/2021/11/11/the-party-continues-developers-of-e11even-hotel-residences-miami-launch-second-tower/
1210 Brickell Avenue in Miami,Ora by Casa Tua ,"Fortune Development Group, Casa Tua ",Fortune,"Fortune International Group plans Ora by Casa Tua, a 70-story, roughly 460-unit development in Miami's Brickell neighborhood.",Casa Tua,https://therealdeal.com/miami/2022/12/16/fortune-plans-70-story-casa-tua-condo-tower-in-brickell/
 2121 North Bayshore Drive in Miami,Edition Residences Edgewater ,Two Roads Development,Douglas Elliman,"Two Roads Development is partnering with the Edition brand for the first of a three-tower luxury condo project in Miami’s Edgewater neighborhood. Sales of the planned 185-unit, 55-story Edition Residences at 2121 North Bayshore Drive have already begun.",Edition,https://therealdeal.com/miami/2022/09/07/two-roads-launches-sales-of-edition-branded-edgewater-condos/
551 Bayshore Drive in Fort Lauderdale,Edition Residences Fort Lauderdale,Location Ventures,Douglas Elliman,Rishi Kapoor of Coral Gables-based Location Ventures signed a licensing and branding agreement with Marriott International for two Edition-branded condo towers in Fort Lauderdale. The two 11-story buildings will have a total of 65 units.,Edition,https://therealdeal.com/miami/2022/10/25/rishi-kapoor-launches-edition-residences-in-fort-lauderdale/
1444 Biscayne Boulevard in Miami,Casa Bella by B&B Italia,"Related Group, Alta Developers",Fortune,"Related Group and Alta Developers plan Casa Bella, a B&B Italia-branded condo tower.",B&B Italia,https://therealdeal.com/issues_articles/supply-chain-woes-loom-over-miami-condo-market/
2700 Northwest Second Avenue in Miami,NoMad Residences Wynwood,"Related Group, Tricap, Lndmrk Development",Fortune,"Related Group and David Edelstein’s Tricap plan a 329-unit, nine-story building at 2700 Northwest Second Avenue in Miami's Wynwood neighborhood.",NoMad Hotels,https://therealdeal.com/miami/2022/04/13/related-tricap-launch-sales-of-nomad-branded-condos-in-wynwood-with-casa-tua/
3425 Collins Avenue in Miami Beach,"Aman Residences, Miami Beach ","OKO Group, backed by Access Industries",OKO Real Estate ,Billionaires Vlad Doronin and Len Blavatnik's Aman-branded development at 3425 Collins Avenue will include a 56-key hotel and 22 luxury condos.,Aman,https://therealdeal.com/miami/2021/02/09/aman-miami-beach-developer-secures-approval-from-historic-board/
1901 Collins Avenue in Miami Beach,Auberge Residences at the Shore Club,"Witkoff, Monroe Capital ",Douglas Elliman,"Witkoff and Monroe Capital plan the Auberge Residences at the Shore Club, a 17-story tower with 49-units. Douglas Elliman will lead sales of the Auberge-branded hotel and development.",Auberge Resorts,https://therealdeal.com/miami/2022/11/17/elliman-to-lead-sales-of-witkoff-monroes-auberge-shore-club-project/
